week	cases
1	1
2	0
3	2
4	0
5	0
6	0
7	1
8	4
9	0
10	0
11	0
12	3
13	15
14	26
15	25
16	20
17	27
18	23
19	66
20	59
21	79
22	140
23	265
24	255
25	248
26	321
27	352
28	442
29	358
30	389
31	316
32	258
33	132
34	129
35	87
36	70
37	64
38	53
39	37
40	23
41	31
42	9
43	8
44	8
45	4
46	5
47	4
48	5
49	1
50	0
51	0
52	0
53	1
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
